drugId,drug,firstApprovalYear
CHEMBL40,PHENOBARBITAL,2022
CHEMBL266349,MELAGATRAN,2004
CHEMBL271227,ABIRATERONE ACETATE,2011
CHEMBL264241,ANIDULAFUNGIN,2006
CHEMBL435,HYDROCHLOROTHIAZIDE,1959
CHEMBL115,INDINAVIR,1996
CHEMBL1549,HYDROCORTISONE CYPIONATE,1955
CHEMBL259972,MOFEZOLAC,1994
CHEMBL422,TRIFLUOPERAZINE,1959
CHEMBL262135,GALLIUM OXODOTREOTIDE,2016
CHEMBL416,METHOXSALEN,1954
CHEMBL1506,CHLORAMPHENICOL PALMITATE,1982
CHEMBL1515,METHIMAZOLE,1950
CHEMBL267894,AMOBARBITAL,None
CHEMBL267936,MECAMYLAMINE,1956
CHEMBL441,THIOPENTAL,1982
CHEMBL514,LOMUSTINE,1976
CHEMBL1513,IRBESARTAN,1997
CHEMBL984,MIVACURIUM CHLORIDE,1992
CHEMBL403,SULBACTAM,None
CHEMBL444,BARBITAL,None
CHEMBL517,DISOPYRAMIDE,1977
CHEMBL634,ALFENTANIL,1986
CHEMBL638,VORICONAZOLE,2002
CHEMBL593,DELAVIRDINE,1997
CHEMBL549,CITALOPRAM,1998
CHEMBL276832,HYDRALAZINE,1953
CHEMBL178,DAUNORUBICIN,1979
CHEMBL1457,HYDROCODONE,1943
CHEMBL382301,ATOSIBAN,2000
CHEMBL1440,TETRACYCLINE,2006
CHEMBL384467,DEXAMETHASONE,1958
CHEMBL397420,ACENOCOUMAROL,None
CHEMBL398435,TICAGRELOR,2010
CHEMBL1490,TRIHEXYPHENIDYL,1949
CHEMBL383675,TEMOPORFIN,2001
CHEMBL181,DIAZOXIDE,1973
CHEMBL1484,NICARDIPINE,1988
CHEMBL1405,ESTRONE,1979
CHEMBL1623,MECLIZINE,1957
CHEMBL1642,IMATINIB MESYLATE,2001
CHEMBL1625,OXYBENZONE,1992
CHEMBL514446,DEHYDROCHOLIC ACID,None
CHEMBL507870,TELAVANCIN,2009
CHEMBL511142,BUPRENORPHINE,1981
CHEMBL1659,CHLORPHENIRAMINE MALEATE,1950
CHEMBL1591,DEMECLOCYCLINE,1960
CHEMBL1200516,GONADORELIN HYDROCHLORIDE,1982
CHEMBL1200453,DOCOSANOL,2000
CHEMBL1213136,PILOCARPINE NITRATE,None
CHEMBL1200974,CARBINOXAMINE MALEATE,2003
CHEMBL818,IOBENGUANE,1994
CHEMBL54976,TRYPTOPHAN,None
CHEMBL1200380,ACYCLOVIR SODIUM,1982
CHEMBL1201061,LEVALBUTEROL HYDROCHLORIDE,1999
CHEMBL1200493,NAFTIFINE HYDROCHLORIDE,1988
CHEMBL1200835,TECHNETIUM TC 99M ETIDRONATE,1973
CHEMBL455917,CHLORAL HYDRATE,None
CHEMBL205596,CHOLIC ACID,2013
CHEMBL1201349,HEXAFLUORENIUM,1982
CHEMBL1201224,CEFMENOXIME,1987
CHEMBL21333,PRANLUKAST,1995
CHEMBL651,METHADONE,1947
CHEMBL476960,VOGLIBOSE,1994
CHEMBL415606,DEGARELIX,2008
CHEMBL501849,SIMEPREVIR,2013
CHEMBL427216,GLICLAZIDE,None
CHEMBL117287,PRUCALOPRIDE,2009
CHEMBL504760,CAMPHOR,None
CHEMBL602,CYSTEAMINE,1994
CHEMBL1604,CEPHRADINE,1974
CHEMBL523299,UMECLIDINIUM BROMIDE,2013
CHEMBL17879,MARALIXIBAT CHLORIDE,2021
CHEMBL1079,TIZANIDINE,1996
CHEMBL450449,TRABECTEDIN,2007
CHEMBL502097,MIPOMERSEN SODIUM,2013
CHEMBL34259,METHOTREXATE,1953
CHEMBL28333,MEDAZEPAM,None
CHEMBL376897,METHSCOPOLAMINE,1953
CHEMBL247951,PEMAFIBRATE,2017
CHEMBL1149,LEVOCARNITINE,1985
CHEMBL477772,PAZOPANIB,2009
CHEMBL23,DILTIAZEM,1982
CHEMBL31,GATIFLOXACIN,1999
CHEMBL1201102,TRIFLUPROMAZINE HYDROCHLORIDE,1957
CHEMBL1200701,DICLOXACILLIN SODIUM,1968
CHEMBL455186,TREOSULFAN,2019
CHEMBL1200628,VANCOMYCIN HYDROCHLORIDE,1964
CHEMBL1200800,CALCIUM ACETATE,1982
CHEMBL1201210,PROPIOMAZINE,1960
CHEMBL1200781,CITALOPRAM HYDROBROMIDE,1998
CHEMBL1200436,OXANDROLONE,1964
CHEMBL1354,SODIUM ACETATE,1983
CHEMBL1193,PHENIRAMINE,1994
CHEMBL446061,TROLAMINE,None
CHEMBL56367,NIMESULIDE,None
CHEMBL1201067,BIPERIDEN LACTATE,1961
CHEMBL1200758,AMPICILLIN SODIUM,1971
CHEMBL1718,NALOXONE HYDROCHLORIDE,1971
CHEMBL1540,PENCICLOVIR,1996
CHEMBL1682,SORBITOL,None
CHEMBL1089641,TRYPAN BLUE FREE ACID,2004
CHEMBL1200535,THALLOUS CHLORIDE TL 201,1977
CHEMBL1272,REPAGLINIDE,1997
CHEMBL754,FOSCARNET SODIUM,1991
CHEMBL1095292,BRETYLIUM TOSYLATE,1986
CHEMBL1660,RIFAPENTINE,1998
CHEMBL1201136,TITANIUM DIOXIDE,2006
CHEMBL1201094,COBALTOUS CHLORIDE CO 60,None
CHEMBL1200691,MAGNESIUM ACETATE,None
CHEMBL1295,BUTOCONAZOLE,1985
CHEMBL92401,IPRONIAZID,None
CHEMBL15677,FENCLOFENAC,1978
CHEMBL16080,TRICHLOROETHANE,None
CHEMBL1619,CLADRIBINE,1993
CHEMBL1201412,TECHNETIUM TC-99M ALBUMIN MICROSPHERES KIT,None
CHEMBL1201454,ALSEROXYLON,1982
CHEMBL1201467,SYNTHETIC CONJUGATED ESTROGENS, B,2004
CHEMBL1201505,FIBRINOLYSIN, HUMAN,1964
CHEMBL1201519,VITAMIN K,2000
CHEMBL1201531,VERATRUM VIRIDE ROOT,1982
CHEMBL1201545,INSULIN SUSP ISOPHANE BEEF,1982
CHEMBL1199080,BRETYLIUM,1986
CHEMBL1547,THIAMINE ION,1985
CHEMBL177,AMIKACIN,1981
CHEMBL284906,NICORANDIL,None
CHEMBL1201734,BENDAMUSTINE HYDROCHLORIDE,2008
CHEMBL1201266,LODOXAMIDE,1993
CHEMBL1200549,RAPACURONIUM BROMIDE,1999
CHEMBL1201631,INSULIN HUMAN,1982
CHEMBL1201645,INTRINSIC FACTOR,None
CHEMBL1201697,LH (MENOTROPINS),1975
CHEMBL1561,MIGLITOL,1996
CHEMBL1720,PALONOSETRON HYDROCHLORIDE,2003
CHEMBL1689,TOLAZOLINE HYDROCHLORIDE,1985
CHEMBL416146,ETORICOXIB,2002
CHEMBL1632,CEPHALOTHIN SODIUM,1974
CHEMBL1201823,ABATACEPT,2006
CHEMBL1661,LACTITOL,2020
CHEMBL525610,TERIPARATIDE,2002
CHEMBL1522,ESZOPICLONE,2004
CHEMBL1118,DESVENLAFAXINE,2008
CHEMBL677,LEVONORDEFRIN,1960
CHEMBL1113,AMOXAPINE,1980
CHEMBL489411,AMOROLFINE,None
CHEMBL30,CIMETIDINE,1977
CHEMBL1605,CEFTIBUTEN,1995
CHEMBL1200973,ESTRADIOL CYPIONATE,1979
CHEMBL1201616,SECRETIN SYNTHETIC PORCINE,2002
CHEMBL149972,PHENOBARBITAL SODIUM,2022
CHEMBL1201765,FESOTERODINE FUMARATE,2007
CHEMBL385517,SAXAGLIPTIN ANHYDROUS,2009
CHEMBL459,METHYLDOPA,1962
CHEMBL12856,INAMRINONE,1984
CHEMBL1236802,XENON,1982
CHEMBL1201470,HYDROCODONE POLISTIREX,1987
CHEMBL1587,POLYTHIAZIDE,1961
CHEMBL1519,TRANDOLAPRIL,1996
CHEMBL1201827,PANITUMUMAB,2006
CHEMBL1173055,RUCAPARIB,2016
CHEMBL1201780,CARGLUMIC ACID,2010
CHEMBL1677,TACRINE HYDROCHLORIDE,1993
CHEMBL315985,ESLICARBAZEPINE,None
CHEMBL923,RISEDRONIC ACID,1998
CHEMBL70046,SORIVUDINE,None
CHEMBL780,PENTETIC ACID,2004
CHEMBL1711280,DOTHIEPIN HYDROCHLORIDE,None
CHEMBL1707007,GLUCOSAMINE HYDROCHLORIDE,None
CHEMBL1697708,MEZLOCILLIN SODIUM,1981
CHEMBL1697717,CARBENOXOLONE SODIUM,None
CHEMBL1738797,ALECTINIB,2015
CHEMBL471,SOTALOL,1992
CHEMBL672,FENOFIBRATE,1993
CHEMBL655,MIDAZOLAM,1985
CHEMBL633,AMIODARONE,1985
CHEMBL85,RISPERIDONE,1993
CHEMBL80,NALOXONE,1971
CHEMBL589,ROPINIROLE,1997
CHEMBL277474,ANTIPYRINE,None
CHEMBL578,ENALAPRIL,1985
CHEMBL643,PROMETHAZINE,1951
CHEMBL284092,GEPIRONE,2023
CHEMBL956,SUPROFEN,1985
CHEMBL1201202,FONDAPARINUX,2001
CHEMBL1607480,OXYTETRACYCLINE HYDROCHLORIDE,1964
CHEMBL1200642,INDIUM IN 111 PENTETREOTIDE,1994
CHEMBL254468,FLUCICLOVINE F18,2016
CHEMBL1491,AMLODIPINE,1992
CHEMBL1529,DIPHENIDOL HYDROCHLORIDE,1967
CHEMBL1740659,FURSULTIAMINE,None
CHEMBL262777,VANCOMYCIN,1964
CHEMBL41,FLUOXETINE,1987
CHEMBL54,HALOPERIDOL,1967
CHEMBL19,METHAZOLAMIDE,1959
CHEMBL1719,OLOPATADINE HYDROCHLORIDE,1996
CHEMBL1564,DIPHENYLPYRALINE HYDROCHLORIDE,1982
CHEMBL1441059,ALBUTEROL SULFATE,1982
CHEMBL1256400,XYLOMETAZOLINE HYDROCHLORIDE,None
CHEMBL473417,VISMODEGIB,2012
CHEMBL1571863,ISOCONAZOLE,None
CHEMBL535396,RIMANTADINE HYDROCHLORIDE,1993
CHEMBL1237111,TECHNETIUM TC 99M BICISATE,1994
CHEMBL1673148,BEPHENIUM HYDROXYNAPHTHOATE,None
CHEMBL1615439,PHENDIMETRAZINE,1976
CHEMBL1705709,SODIUM FEREDETATE,None
CHEMBL538943,VINORELBINE TARTRATE,1994
CHEMBL1725730,LEVOMEPROMAZINE MALEATE,None
CHEMBL1742424,CELIPROLOL HYDROCHLORIDE,None
CHEMBL1742471,EBROTIDINE,None
CHEMBL1200350,IODIPAMIDE SODIUM,None
CHEMBL1744447,ROSUVASTATIN CALCIUM,2003
CHEMBL24171,BERGAPTEN,None
CHEMBL131,PREDNISOLONE,1955
CHEMBL715,OLANZAPINE,1996
CHEMBL730,NITROGLYCERIN,1981
CHEMBL819,OXACILLIN,1971
CHEMBL86,METOCLOPRAMIDE,1979
CHEMBL10878,AGOMELATINE,2009
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,1959
CHEMBL503,LOVASTATIN,1987
CHEMBL110,BENZNIDAZOLE,2017
CHEMBL561,LOMEFLOXACIN,1992
CHEMBL1237072,DIRITHROMYCIN,1995
CHEMBL561157,TREPROSTINIL SODIUM,2020
CHEMBL1447,LINCOMYCIN,1964
CHEMBL1084172,VILANTEROL TRIFENATATE,2013
CHEMBL1735,INDINAVIR SULFATE,1996
CHEMBL2068723,CALCIUM METRIZOATE,None
CHEMBL1644030,POTASSIUM BROMIDE,None
CHEMBL1774461,FLORBETAPIR F 18,2012
CHEMBL1743090,TECHNETIUM TC 99M ARCITUMOMAB,None
CHEMBL1743091,INDIUM IN 111 SATUMOMAB PENDETIDE,1991
CHEMBL3184986,ZINC ACETATE,2004
CHEMBL3185229,MAGNESIUM CHLORIDE,None
CHEMBL3188034,TRIPROLIDINE HYDROCHLORIDE,1983
CHEMBL3188267,CAPMATINIB,2020
CHEMBL3188339,ALCURONIUM CHLORIDE,None
CHEMBL3186492,ONDANSETRON HYDROCHLORIDE,1991
CHEMBL3188576,DIHYDROSTREPTOMYCIN SULFATE,None
CHEMBL3188993,QUETIAPINE FUMARATE,1997
CHEMBL3186993,HYDROXYZINE HYDROCHLORIDE,1956
CHEMBL3189072,TIROFIBAN HYDROCHLORIDE,1998
CHEMBL3187246,METHAPYRILENE FUMARATE,None
CHEMBL3187365,ASENAPINE,2009
CHEMBL3187723,BINIMETINIB,2018
CHEMBL3237547,CEDAZURIDINE,2020
CHEMBL3936761,ZANUBRUTINIB,2019
CHEMBL3948730,UMBRALISIB,2021
CHEMBL4066936,VERICIGUAT,2021
CHEMBL4071161,TIRABRUTINIB,2020
CHEMBL4065616,REMDESIVIR,2020
CHEMBL4105630,ZURANOLONE,2023
CHEMBL3643413,LENIOLISIB,2023
CHEMBL4101807,VOXELOTOR,2019
CHEMBL2107816,RADIUM RA 223 DICHLORIDE,2013
CHEMBL5072826,CALCIUM,None
CHEMBL3989767,CALCITONIN SALMON,1978
CHEMBL3989868,TUCATINIB,2020
CHEMBL4650319,MOBOCERTINIB,2021
CHEMBL516,CYPROHEPTADINE,1961
CHEMBL524,METHOXAMINE,1982
CHEMBL98,VORINOSTAT,2006
CHEMBL13209,NITRAZEPAM,None
CHEMBL531,PERGOLIDE,1988
CHEMBL101,PHENYLBUTAZONE,1980
CHEMBL14053,TRICHLOROACETIC ACID,None
CHEMBL14060,PHENOL,None
CHEMBL104,CLOTRIMAZOLE,1975
CHEMBL14370,REBOXETINE,1997
CHEMBL541,BENZOIC ACID,None
CHEMBL103,PROGESTERONE,1976
CHEMBL553,ERLOTINIB,2004
CHEMBL546,OXPRENOLOL,1983
CHEMBL1165,MOEXIPRIL,1995
CHEMBL1208,CINOXACIN,1980
CHEMBL1166,ARGATROBAN,2000
CHEMBL1163,ATAZANAVIR,2003
CHEMBL1206,ETHOPROPAZINE,1982
CHEMBL127516,BUTAMBEN,None
CHEMBL142635,NAFTOPIDIL,1999
CHEMBL1195,PROPOXYCAINE,1982
CHEMBL1202,CIPROFLOXACIN HYDROCHLORIDE,1987
CHEMBL1242,PHENAZOPYRIDINE,1987
CHEMBL1520,VARDENAFIL,2003
CHEMBL259571,TAPINAROF,2022
CHEMBL1495,OXYPHENCYCLIMINE,1982
CHEMBL1480,FELODIPINE,1991
CHEMBL1098,BUPIVACAINE,1972
CHEMBL1525,PERMETHRIN,1986
CHEMBL253371,ALVERINE,None
CHEMBL452,CLONAZEPAM,1975
CHEMBL267345,AMPHOTERICIN B,1964
CHEMBL1533,DESOGESTREL,1992
CHEMBL251940,PERICIAZINE,None
CHEMBL1252,ABARELIX,2003
CHEMBL1397,POSACONAZOLE,2005
CHEMBL1401,NITAZOXANIDE,2002
CHEMBL1622,FOLIC ACID,None
CHEMBL493287,GLUCOSAMINE,None
CHEMBL1675,VITAMIN A PALMITATE,None
CHEMBL1655,TOREMIFENE,1996
CHEMBL1648,ISRADIPINE,1990
CHEMBL485253,METHYSERGIDE,1962
CHEMBL1640,TRYPAN BLUE,2004
CHEMBL502835,NINTEDANIB,2014
CHEMBL1641,HYDROCORTISONE PHOSPHORIC ACID,1960
CHEMBL502182,ELAGOLIX SODIUM,2018
CHEMBL501613,MEPARFYNOL,None
CHEMBL498847,SECNIDAZOLE,2017
CHEMBL1200328,DULOXETINE HYDROCHLORIDE,2004
CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,1984
CHEMBL1200641,CISATRACURIUM BESYLATE,1995
CHEMBL1200869,METRONIDAZOLE HYDROCHLORIDE,1980
CHEMBL1200875,FLAVOXATE HYDROCHLORIDE,1970
CHEMBL1201108,CONIVAPTAN HYDROCHLORIDE,2005
CHEMBL1201320,ESOMEPRAZOLE,2001
CHEMBL1201329,TRIMETHAPHAN,1982
CHEMBL27193,DILEVALOL,1990
CHEMBL1201865,VELAGLUCERASE ALFA,2010
CHEMBL37744,ZIMELDINE,None
CHEMBL1201579,CAPROMAB PENDETIDE,1996
CHEMBL1189679,PALONOSETRON,2003
CHEMBL159,VINBLASTINE,1965
CHEMBL1201774,SAPROPTERIN,2007
CHEMBL1201775,SAPROPTERIN DIHYDROCHLORIDE,2007
CHEMBL975,MESNA,1988
CHEMBL75435,DEXKETOPROFEN,1994
CHEMBL1229211,DOLUTEGRAVIR,2013
CHEMBL1229517,VEMURAFENIB,2011
CHEMBL468,THALIDOMIDE,1998
CHEMBL1201229,DEMECARIUM,1959
CHEMBL1200965,BACAMPICILLIN HYDROCHLORIDE,1980
CHEMBL1201473,COLESEVELAM HYDROCHLORIDE,2000
CHEMBL1201576,RITUXIMAB,1997
CHEMBL1201622,PORACTANT ALFA,1999
CHEMBL1201659,CHLORPHENIRAMINE POLISTIREX,1984
CHEMBL1200948,TRIMIPRAMINE MALEATE,1979
CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,1973
CHEMBL1201041,AZLOCILLIN SODIUM,1982
CHEMBL1201112,NELARABINE,2005
CHEMBL1541,CEFIXIME,1989
CHEMBL18442,PLERIXAFOR,2008
CHEMBL603,ZAFIRLUKAST,1996
CHEMBL636,RIVASTIGMINE,1998
CHEMBL1200374,EXEMESTANE,1999
CHEMBL1200618,FEXOFENADINE HYDROCHLORIDE,1996
CHEMBL1200461,MIDODRINE HYDROCHLORIDE,1996
CHEMBL1201050,PEMIROLAST POTASSIUM,1999
CHEMBL1201483,PSEUDOEPHEDRINE POLISTIREX,1987
CHEMBL1201632,IMIGLUCERASE,1994
CHEMBL853,ZALCITABINE,1992
CHEMBL222559,TIPRANAVIR,2005
CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,1991
CHEMBL1722,METHYLPHENIDATE HYDROCHLORIDE,1955
CHEMBL1201466,ESTROGENS, CONJUGATED SYNTHETIC A,1999
CHEMBL1201836,OFATUMUMAB,2009
CHEMBL218650,DELAMANID,2014
CHEMBL1229937,DIHYDROXYACETONE,None
CHEMBL1200582,AMINOLEVULINIC ACID HYDROCHLORIDE,1999
CHEMBL1200584,AMINOSALICYLATE POTASSIUM,1955
CHEMBL1201035,BIPERIDEN HYDROCHLORIDE,1959
CHEMBL1200474,DEMECLOCYCLINE HYDROCHLORIDE,1960
CHEMBL1200735,MOXIFLOXACIN HYDROCHLORIDE,1999
CHEMBL1201729,DRONEDARONE HYDROCHLORIDE,2009
CHEMBL1200326,NICARDIPINE HYDROCHLORIDE,1988
CHEMBL1200633,IVERMECTIN,1996
CHEMBL1200852,PENICILLIN V POTASSIUM,1958
CHEMBL1201309,NAFARELIN,1990
CHEMBL1200354,SODIUM TETRADECYL SULFATE,1946
CHEMBL1200916,THIORIDAZINE HYDROCHLORIDE,1962
CHEMBL1200941,THIAMINE HYDROCHLORIDE,None
CHEMBL1230314,ESTETROL,2021
CHEMBL1200571,GADOBENATE DIMEGLUMINE,2004
CHEMBL1200578,THEOPHYLLINE SODIUM GLYCINATE,1982
CHEMBL1200698,PENTETATE CALCIUM TRISODIUM YB 169,1976
CHEMBL1200799,TRAVOPROST,2001
CHEMBL1200804,DICLOFENAC POTASSIUM,1993
CHEMBL1200878,TRIAMCINOLONE HEXACETONIDE,1969
CHEMBL1200879,WARFARIN SODIUM,1954
CHEMBL1201037,EFLORNITHINE HYDROCHLORIDE,1990
CHEMBL1201115,ESMOLOL HYDROCHLORIDE,1986
CHEMBL1201118,CEFMETAZOLE SODIUM,1989
CHEMBL1201207,BETAMETHASONE PHOSPHORIC ACID,1965
CHEMBL1201321,DIFENOXIN,1978
CHEMBL1201325,HEXOCYCLIUM,1982
CHEMBL1201754,RUFINAMIDE,2007
CHEMBL1214185,ROXITHROMYCIN,None
CHEMBL1201770,METHYLNALTREXONE BROMIDE,2008
CHEMBL1201772,PRASUGREL,2009
CHEMBL1200542,DESOXYCORTICOSTERONE ACETATE,1939
CHEMBL1200543,ANILERIDINE PHOSPHATE,1982
CHEMBL1200640,FERROUS FUMARATE,None
CHEMBL1200779,TROVAFLOXACIN MESYLATE,1997
CHEMBL1200937,DALFOPRISTIN,1999
CHEMBL1201013,OLSALAZINE SODIUM,1990
CHEMBL1201095,CHLORMERODRIN HG 197,None
CHEMBL1201099,CODEINE PHOSPHATE,1952
CHEMBL1201180,DICLOFENAC EPOLAMINE,2007
CHEMBL1201293,ACAMPROSATE,2004
CHEMBL1201295,BITOLTEROL,1984
CHEMBL1200721,ESTRAMUSTINE PHOSPHATE SODIUM,1981
CHEMBL1201148,MEPREDNISONE,1982
CHEMBL1201459,DESOXYRIBONUCLEASE,1964
CHEMBL1201501,DIMYRISTOYL LECITHIN,2002
CHEMBL1201542,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1982
CHEMBL2,PRAZOSIN,1976
CHEMBL1235452,SULFUR,None
CHEMBL260538,ULIPRISTAL ACETATE,2009
CHEMBL1175,DULOXETINE,2004
CHEMBL1231052,ARSENIC,None
CHEMBL1231723,POLIDOCANOL,2010
CHEMBL1086,DIBUCAINE,1982
CHEMBL1123,DICYCLOMINE,1950
CHEMBL1201864,DIENOGEST,2010
CHEMBL58323,LACOSAMIDE,2008
CHEMBL1201735,BUPROPION HYDROBROMIDE,2008
CHEMBL24778,SILODOSIN,2008
CHEMBL1233877,KRYPTON,None
CHEMBL1237021,LURASIDONE,2010
CHEMBL1237022,TOCILIZUMAB,2005
CHEMBL1237023,DENOSUMAB,2010
CHEMBL1237024,SIPULEUCEL-T,None
CHEMBL1237025,PEGLOTICASE,2010
CHEMBL191,LOSARTAN,1995
CHEMBL1508,ESCITALOPRAM,2002
CHEMBL1201577,CETUXIMAB,2004
CHEMBL417,EPIRUBICIN,1999
CHEMBL1138,EZETIMIBE,2002
CHEMBL25105,HEXAMIDINE,None
CHEMBL19299,LOXOPROFEN,1986
CHEMBL592,LEVORPHANOL,1991
CHEMBL915,NEDOCROMIL SODIUM,1992
CHEMBL1010,CEFOTAXIME SODIUM,1981
CHEMBL1000,CETIRIZINE,1995
CHEMBL129,ZIDOVUDINE,1987
CHEMBL1108,DROPERIDOL,1970
CHEMBL94394,BUFEXAMAC,None
CHEMBL20883,TEGAFUR,None
CHEMBL596,FENTANYL,1968
CHEMBL511,PYRILAMINE,1973
CHEMBL833,TICLOPIDINE,1991
CHEMBL826,ENOXACIN,1991
CHEMBL135,ESTRADIOL,1975
CHEMBL106,FLUCONAZOLE,1990
CHEMBL1026,FENOLDOPAM MESYLATE,1997
CHEMBL781,MAZINDOL,1973
CHEMBL83668,TOLNAFTATE,None
CHEMBL941,IMATINIB,2001
CHEMBL45029,MEPHOBARBITAL,None
CHEMBL695,TRIMETHADIONE,1946
CHEMBL1082,AMOXICILLIN,1974
CHEMBL1504,TRIAMCINOLONE ACETONIDE,1960
CHEMBL738,THIOPENTAL SODIUM,1982
CHEMBL1323,DARUNAVIR,2006
CHEMBL364713,NOSCAPINE,None
CHEMBL1454,LEVAMISOLE,1990
CHEMBL1679,LEUCOVORIN,1952
CHEMBL376359,ALOGLIPTIN,2013
CHEMBL32,MOXIFLOXACIN,1999
CHEMBL264374,BEZAFIBRATE,None
CHEMBL224325,CHLORQUINALDOL,None
CHEMBL806,FLUTAMIDE,1989
CHEMBL349803,PIRETANIDE,None
CHEMBL1126,PENICILLIN G SODIUM,1988
CHEMBL142703,VILDAGLIPTIN,2007
CHEMBL406,INDAPAMIDE,1983
CHEMBL1017,TELMISARTAN,1998
CHEMBL343448,ROMIDEPSIN,2009
CHEMBL1238,AZELAIC ACID,1995
CHEMBL116,AMPRENAVIR,1999
CHEMBL885,EMTRICITABINE,2003
CHEMBL1201043,CEPHAPIRIN SODIUM,1974
CHEMBL279816,TRICHLOROETHYLENE,None
CHEMBL704,MESALAMINE,1987
CHEMBL599,MELOXICAM,2000
CHEMBL1282,IMIQUIMOD,1997
CHEMBL1262,OXICONAZOLE,1988
CHEMBL227529,ALOGLIPTIN BENZOATE,2013
CHEMBL128,SUMATRIPTAN,1992
CHEMBL250270,LERCANIDIPINE,None
CHEMBL1425,MERCAPTOPURINE ANHYDROUS,1953
CHEMBL766,CILASTATIN,1985
CHEMBL817,TOLAZAMIDE,1966
CHEMBL169901,DEBRISOQUIN,None
CHEMBL333826,DEQUALINIUM,None
CHEMBL1409,FLUVOXAMINE MALEATE,1994
CHEMBL167150,TRICHLORFON,None
CHEMBL338802,SULFAGUANIDINE,None
CHEMBL1291,METIPRANOLOL,1989
CHEMBL70246,ACEFYLLINE,None
CHEMBL1761,PROCYCLIDINE HYDROCHLORIDE,1955
CHEMBL481,IRINOTECAN,1996
CHEMBL455,SULFACETAMIDE,1945
CHEMBL3,NICOTINE,1984
CHEMBL86715,PROCYCLIDINE,1955
CHEMBL339427,TUBOCURARINE,1945
CHEMBL1208422,ROSE BENGAL FREE ACID,1971
CHEMBL1691,BETAXOLOL HYDROCHLORIDE,1985
CHEMBL1200517,DIHYDROERGOTAMINE MESYLATE,1946
CHEMBL1200616,CHLOROTHIAZIDE SODIUM,1958
CHEMBL1200666,CALCIPOTRIENE,1993
CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,1987
CHEMBL1200544,CEPHALEXIN,1971
CHEMBL1020,TOLMETIN,1976
CHEMBL1187011,DOMIPHEN,None
CHEMBL1751,DIGOXIN,1975
CHEMBL1200989,ALCLOMETASONE DIPROPIONATE,1982
CHEMBL1078178,MOMELOTINIB,2023
CHEMBL1741134,PICOSULFURIC ACID,2012
CHEMBL1712842,MEPAZINE ACETATE,None
CHEMBL218394,BOCEPREVIR,2011
CHEMBL282575,ESTRADIOL BENZOATE,None
CHEMBL1631694,FEXINIDAZOLE,2021
CHEMBL1200945,PENTETATE CALCIUM TRISODIUM,2004
CHEMBL1644694,SODIUM BROMIDE,None
CHEMBL105,MITOMYCIN,1981
CHEMBL691,ETHINYL ESTRADIOL,2001
CHEMBL1627367,FLUOROESTRADIOL,2020
CHEMBL1697841,ISOMETHEPTENE,None
CHEMBL1697844,NICOFURANOSE,None
CHEMBL1697851,THIOPROPAZATE,None
CHEMBL1630575,CASPOFUNGIN,2001
CHEMBL1650818,AMDINOCILLIN PIVOXIL,None
CHEMBL1689772,OMADACYCLINE,2018
CHEMBL1650559,PLAZOMICIN,2018
CHEMBL1650443,TRELAGLIPTIN,2015
CHEMBL253376,BROMHEXINE,None
CHEMBL1697782,METHYLPREDNISOLONE ACEPONATE,None
CHEMBL1727605,BISMUTH SUBCARBONATE,None
CHEMBL1723241,SULFACETAMIDE SODIUM,1961
CHEMBL1738990,LEVOPROPOXYPHENE,1962
CHEMBL1697856,BUCETIN,None
CHEMBL1374379,BENZONATATE,1958
CHEMBL1688530,ORITAVANCIN,2014
CHEMBL1683544,ERIBULIN MESYLATE,2010
CHEMBL1697733,ACETYLCARNITINE,None
CHEMBL1697744,ERDOSTEINE,None
CHEMBL1697751,ISAXONINE PHOSPHATE,None
CHEMBL1697760,MUZOLIMINE,None
CHEMBL1697768,SODIUM PICOSULFATE,2012
CHEMBL189,MILRINONE,1987
CHEMBL3040581,SODIUM GLYCEROPHOSPHATE,2014
CHEMBL3099695,OSILODROSTAT,2020
CHEMBL3112741,RELEBACTAM ANHYDROUS,2019
CHEMBL3085436,VIOMYCIN,1982
CHEMBL3137358,SIMEPREVIR SODIUM,2013
CHEMBL3137301,SACUBITRIL,2015
CHEMBL3137309,VENETOCLAX,2016
CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,2018
CHEMBL3137317,SONIDEGIB PHOSPHATE,2015
CHEMBL3137318,TALAZOPARIB TOSYLATE,2018
CHEMBL3137326,DEUTETRABENAZINE,2017
CHEMBL3137327,OMEGA-3-CARBOXYLIC ACIDS,2014
CHEMBL3137329,PEFICITINIB HYDROBROMIDE,2019
CHEMBL3137330,CABOTEGRAVIR SODIUM,2021
CHEMBL3137333,ISAVUCONAZONIUM SULFATE,2015
CHEMBL3137342,DINUTUXIMAB,2015
CHEMBL3184143,GUANADREL SULFATE,1982
CHEMBL3137343,PEMBROLIZUMAB,2014
CHEMBL3137320,TALAZOPARIB,2018
CHEMBL24924,FLUINDIONE,None
CHEMBL46399,PHENAZOCINE,None
